Training Starts
Iter 184 of 468 loss 0.3499, Img -0.0000,  Label 0.079962, Reg: 0.012578, SegX: 0.121237,SegY: 0.136149
Iter 185 of 468 loss 0.8121, Img -0.0000,  Label 0.268955, Reg: 0.016532, SegX: 0.314154,SegY: 0.212409
Iter 186 of 468 loss 1.0046, Img -0.0000,  Label 0.097833, Reg: 0.012271, SegX: 0.515700,SegY: 0.378749
Iter 187 of 468 loss 0.5391, Img -0.0000,  Label 0.155225, Reg: 0.014328, SegX: 0.161533,SegY: 0.208020
Iter 188 of 468 loss 0.6171, Img -0.0000,  Label 0.144087, Reg: 0.017643, SegX: 0.263313,SegY: 0.192106
Iter 189 of 468 loss 0.4468, Img -0.0000,  Label 0.118726, Reg: 0.012512, SegX: 0.177686,SegY: 0.137838
Iter 190 of 468 loss 0.4172, Img -0.0000,  Label 0.115747, Reg: 0.013302, SegX: 0.133039,SegY: 0.155142
Iter 191 of 468 loss 0.5412, Img -0.0000,  Label 0.136596, Reg: 0.014694, SegX: 0.218728,SegY: 0.171134
Iter 192 of 468 loss 0.3624, Img -0.0000,  Label 0.112675, Reg: 0.013191, SegX: 0.102646,SegY: 0.133909
Iter 193 of 468 loss 0.5248, Img -0.0000,  Label 0.125872, Reg: 0.014208, SegX: 0.203074,SegY: 0.181612
Iter 194 of 468 loss 0.9391, Img -0.0000,  Label 0.249590, Reg: 0.009950, SegX: 0.327985,SegY: 0.351617
Iter 195 of 468 loss 0.8597, Img -0.0000,  Label 0.252356, Reg: 0.013452, SegX: 0.338139,SegY: 0.255720
Iter 196 of 468 loss 0.5166, Img -0.0000,  Label 0.155061, Reg: 0.011528, SegX: 0.159580,SegY: 0.190395
Iter 197 of 468 loss 0.6814, Img -0.0000,  Label 0.203411, Reg: 0.012214, SegX: 0.216856,SegY: 0.248942
Iter 198 of 468 loss 0.5625, Img -0.0000,  Label 0.126803, Reg: 0.012095, SegX: 0.212798,SegY: 0.210814
Iter 199 of 468 loss 0.4875, Img -0.0000,  Label 0.091558, Reg: 0.013979, SegX: 0.207336,SegY: 0.174602
Iter 200 of 468 loss 0.6710, Img -0.0000,  Label 0.213937, Reg: 0.014904, SegX: 0.209539,SegY: 0.232584
Iter 201 of 468 loss 0.5880, Img -0.0000,  Label 0.096364, Reg: 0.011371, SegX: 0.250787,SegY: 0.229432
Iter 202 of 468 loss 0.5967, Img -0.0000,  Label 0.100226, Reg: 0.012438, SegX: 0.238322,SegY: 0.245704
Iter 203 of 468 loss 0.9204, Img -0.0000,  Label 0.229290, Reg: 0.011781, SegX: 0.436623,SegY: 0.242698
Iter 204 of 468 loss 1.2859, Img -0.0000,  Label 0.361225, Reg: 0.012973, SegX: 0.530877,SegY: 0.380871
Iter 205 of 468 loss 0.5148, Img -0.0000,  Label 0.154490, Reg: 0.014028, SegX: 0.181694,SegY: 0.164587
